Name,Quantity,Unit,Fall,Winter,Summer,Spring,Category
Swiss Chard,0.250,Bunch,1,0,1,1,Greens
Collard Greens,0.250,Bunch,1,0,1,1,Greens
Kale,0.2555,Bunch,1,0,1,1,Greens
Arugula,0.2555,Bunch,1,0,1,1,Greens
Butter Lettuce,0.125,Head,0,0,1,1,Greens
Escarole Lettuce,0.125,Head,0,0,1,1,Greens
Romaine Lettuce,0.125,Head,0,0,1,1,Greens
Spinach,0.250,Bunch,1,0,1,1,Greens
Carrot,4.000,Ounce,1,1,1,0,Vegetable
Celery,3.000,Ounce,1,0,1,0,Vegetable
Cucumber,0.250,Whole,0,0,1,0,Vegetable
Cauliflower,0.250,Head,0,0,1,0,Vegetable
Fava Beans,8.000,Ounce,0,0,0,1,Vegetable
Wax Beans,4.000,Ounce,0,0,1,0,Vegetable
String Beans,4.000,Ounce,0,0,1,0,Vegetable
Asparagus,4.000,Ounce,0,0,0,1,Vegetable
Brussel Sprouts,4.000,Ounce,1,0,0,0,Vegetable
Artichoke,1.000,Whole,0,0,0,1,Vegetable
Ramps,0.250,Bunch,0,0,0,1,Vegetable
Raddichio,1.000,Head,0,0,1,0,Vegetable
Zucchini,5.000,Ounce,0,0,1,0,Vegetable
Eggplant,4.000,Ounce,0,0,1,0,Vegetable
Corn,1.000,Ear,0,0,1,0,Vegetable
Summer Squash,5.000,Ounce,0,0,1,0,Vegetable
Butternut Squash,5.000,Ounce,1,1,0,0,Vegetable
Delicata Squash,5.000,Ounce,1,1,0,0,Vegetable
Tomato,0.500,Cup,0,0,1,0,Vegetable
Cabbage,0.125,Head,0,1,0,0,Vegetable
Parsnip,4.000,Ounce,0,1,0,0,Vegetable
Turnip,2.000,Whole,1,1,1,0,Vegetable
Bell Pepper,1.000,Whole,0,0,1,0,Vegetable
Radish,0.500,Bunch,0,0,0,1,Vegetable
Fennel,4.000,Ounce,1,0,1,0,Vegetable
English Pea,8.000,Ounce,0,0,0,1,Vegetable
Sugar Snap Peas,4.000,Ounce,0,0,0,1,Vegetable
Potato,4.000,Ounce,0,1,1,0,Vegetable
Broccoli,4.000,Ounce,1,0,1,0,Vegetable
Mushrooms,4.000,Ounce,1,1,1,0,Vegetable
Kohlrabi,4.000,Ounce,0,1,0,0,Vegetable
Celery Root,2.000,Ounce,0,1,0,0,Vegetable
Beet,4.000,Ounce,1,1,1,0,Vegetable
Caper-Raisin Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Pancetta Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Pine Nut Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Citrus Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Simple Red Wine Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Simple Balsamic Vinaigrette,0.125,Cup,1,1,1,1,Dressing
