Name,Quantity,Unit,Fall,Winter,Summer,Spring,Category
Swiss Chard,0.250,Bunch,1,0,1,1,Greens
Collard Greens,0.250,Bunch,1,0,1,1,Greens
Kale,0.250,Bunch,1,0,1,1,Greens
Arugula,0.250,Bunch,1,0,1,1,Greens
Butter Lettuce,0.125,Head,0,0,1,1,Greens
Escarole Lettuce,0.125,Head,0,0,1,1,Greens
Romaine Lettuce,0.125,Head,0,0,1,1,Greens
Spinach,0.250,Bunch,1,0,1,1,Greens
Carrot,4.000,Ounce,1,1,1,0,Vegetable
Celery,3.000,Ounce,1,0,1,0,Vegetable
Cucumber,0.250,Whole,0,0,1,0,Vegetable
Cauliflower,0.250,Head,0,0,1,0,Vegetable
Wax Beans,4.000,Ounce,0,0,1,0,Vegetable
String Beans,4.000,Ounce,0,0,1,0,Vegetable
Asparagus,4.000,Ounce,0,0,0,1,Vegetable
Brussel Sprouts,4.000,Ounce,1,0,0,0,Vegetable
Artichoke,1.000,Whole,0,0,0,1,Vegetable
Ramps,0.250,Bunch,0,0,0,1,Vegetable
Raddichio,1.000,Head,0,0,1,0,Vegetable
Zucchini,5.000,Ounce,0,0,1,0,Vegetable
Eggplant,4.000,Ounce,0,0,1,0,Vegetable
Corn,1.000,Ear,0,0,1,0,Vegetable
Summer Squash,5.000,Ounce,0,0,1,0,Vegetable
Butternut Squash,5.000,Ounce,1,1,0,0,Vegetable
Delicata Squash,5.000,Ounce,1,1,0,0,Vegetable
Tomato,0.500,Cup,0,0,1,0,Vegetable
Cabbage,0.125,Head,0,1,0,0,Vegetable
Parsnip,4.000,Ounce,0,1,0,0,Vegetable
Turnip,2.000,Whole,1,1,1,0,Vegetable
Bell Pepper,1.000,Whole,0,0,1,0,Vegetable
Radish,0.500,Bunch,0,0,0,1,Vegetable
Fennel,4.000,Ounce,1,0,1,0,Vegetable
English Peas,8.000,Ounce,0,0,0,1,Vegetable
Sugar Snap Peas,4.000,Ounce,0,0,0,1,Vegetable
Potato,4.000,Ounce,0,1,1,0,Vegetable
Broccoli,4.000,Ounce,1,0,1,0,Vegetable
Mushrooms,4.000,Ounce,1,1,1,0,Vegetable
Kohlrabi,4.000,Ounce,0,1,0,0,Vegetable
Celery Root,2.000,Ounce,0,1,0,0,Vegetable
Beet,4.000,Ounce,1,1,1,0,Vegetable
Roasted Walnuts,0.500,Cup,1,1,1,1,Nut
Roasted Pine Nuts,0.500,Cup,1,1,1,1,Nut
Roasted Pecans,0.500,Cup,1,1,1,1,Nut
Roasted Almonds,0.500,Cup,1,1,1,1,Nut
Roasted Hazelnuts,0.500,Cup,1,1,1,1,Nut
Roasted Pistachios,0.500,Cup,1,1,1,1,Nut
Roasted Peanuts,0.500,Cup,1,1,1,1,Nut
Red Onion,0.500,Cup,1,1,1,0,Onion
White Onion,0.500,Cup,1,1,1,0,Onion
Sweet Onion,0.500,Cup,1,1,1,0,Onion
White Onion,0.500,Cup,1,1,1,0,Onion
Scallions,0.500,Cup,0,0,1,1,Onion
Shallots,0.500,Cup,0,0,1,1,Onion
Ramps,0.500,Cup,0,0,0,1,Onion
Garlic,1.000,Clove,1,1,1,1,Onion
Caper-Raisin Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Pancetta Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Pine Nut Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Citrus Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Simple Red Wine Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Simple Balsamic Vinaigrette,0.125,Cup,1,1,1,1,Dressing
Farro,0.500,Cup,1,1,1,1,Grain
Freekeh,0.500,Cup,1,1,1,1,Grain
Polenta,0.500,Cup,1,1,1,1,Grain
Barley,0.500,Cup,1,1,1,1,Grain
Quinoa,0.500,Cup,1,1,1,1,Grain
Chickpeas,8.000,Ounce,1,1,1,1,Legume
Fresh Fava Beans,8.000,Ounce,0,0,0,1,Legume
Dried Fava Beans,8.000,Ounce,1,1,1,1,Legume
Black Turtle Beans,8.000,Ounce,1,1,1,1,Legume
Borlotti Beans,8.000,Ounce,1,1,1,1,Legume
Aged Pecorino Romano,0.500,Cup,1,1,1,1,Cheese
Spicy Provolone,0.500,Cup,1,1,1,1,Cheese
Parmigiano-Reggiano,0.500,Cup,1,1,1,1,Cheese
Aged Cheddar,0.500,Cup,1,1,1,1,Cheese
Ricotta,0.500,Cup,1,1,1,1,Cheese
Burrata,0.500,Cup,1,1,1,1,Cheese
Mozzarella,0.500,Cup,1,1,1,1,Cheese
Gruyere,0.500,Cup,1,1,1,1,Cheese
Fresh Rosemary,0.500,Tablespoon,1,1,1,1,Herb
Fresh Thyme,0.500,Tablespoon,1,1,1,1,Herb
Fresh Mint,0.500,Tablespoon,1,1,1,1,Herb
Fresh Parsley,0.500,Tablespoon,1,1,1,1,Herb
Fresh Oregano,0.500,Tablespoon,1,1,1,1,Herb
Fresh Sage,0.500,Tablespoon,1,1,1,1,Herb
Cumin,0.500,Tablespoon,1,1,1,1,Spice
Coriander,0.500,Tablespoon,1,1,1,1,Spice
Curry Powder,0.500,Tablespoon,1,1,1,1,Spice
